n_steps,n_alphas
4,11

alpha,runtime,acceptance_ratio,sampling_param
0.3,179.4802503,0.0,10.0
step,mean_E,std_E,std_E_blocking
1048576,123.7148803,0.0,0.0
2097152,123.71488030000057,5.684341886080801e-13,0.0
4194304,123.71488030000128,1.2789769243681803e-12,0.0
8388608,123.71488030000157,1.5631940186722204e-12,0.0

alpha,runtime,acceptance_ratio,sampling_param
0.34,179.4729175,0.0,10.0
step,mean_E,std_E,std_E_blocking
1048576,130.32049949999987,1.4210854715202004e-13,0.0
2097152,130.32049950000035,3.410605131648481e-13,0.0
4194304,130.32049949999939,6.252776074688882e-13,0.0
8388608,130.32049949999856,1.4495071809506044e-12,0.0

alpha,runtime,acceptance_ratio,sampling_param
0.38,179.2988425,0.0,10.0
step,mean_E,std_E,std_E_blocking
1048576,136.2518209999999,1.1368683772161603e-13,0.0
2097152,136.25182100000055,5.400124791776761e-13,0.0
4194304,136.2518209999995,5.115907697472721e-13,0.0
8388608,136.25182099999873,1.2789769243681803e-12,0.0

alpha,runtime,acceptance_ratio,sampling_param
0.42,179.1809749,0.0,10.0
step,mean_E,std_E,std_E_blocking
1048576,141.50884490000016,1.4210854715202004e-13,0.0
2097152,141.50884489999973,2.8421709430404007e-13,0.0
4194304,141.50884490000138,1.3642420526593924e-12,0.0
8388608,141.50884490000232,2.3021584638627246e-12,0.0

alpha,runtime,acceptance_ratio,sampling_param
0.46,179.1153422,0.0,10.0
step,mean_E,std_E,std_E_blocking
1048576,146.09157130000008,8.526512829121202e-14,0.0
2097152,146.09157129999969,3.126388037344441e-13,0.0
4194304,146.09157129999957,4.263256414560601e-13,0.0
8388608,146.09157129999954,4.547473508864641e-13,0.0

alpha,runtime,acceptance_ratio,sampling_param
0.5,198.7011747,0.0,10.0
step,mean_E,std_E,std_E_blocking
1048576,150.0,0.0,0.0
2097152,150.0,0.0,0.0
4194304,150.0,0.0,0.0
8388608,150.0,0.0,0.0

alpha,runtime,acceptance_ratio,sampling_param
0.54,216.8328936,0.0,10.0
step,mean_E,std_E,std_E_blocking
1048576,153.2341311,0.0,0.0
2097152,153.23413109999922,7.958078640513122e-13,0.0
4194304,153.23413109999896,1.0516032489249483e-12,0.0
8388608,153.23413110000243,2.4158453015843406e-12,0.0

alpha,runtime,acceptance_ratio,sampling_param
0.58,203.1496664,0.0,10.0
step,mean_E,std_E,std_E_blocking
1048576,155.7939646000001,8.526512829121202e-14,0.0
2097152,155.79396460000052,5.115907697472721e-13,0.0
4194304,155.79396460000098,9.663381206337363e-13,0.0
8388608,155.79396459999938,6.252776074688882e-13,0.0

alpha,runtime,acceptance_ratio,sampling_param
0.62,179.0636136,0.0,10.0
step,mean_E,std_E,std_E_blocking
1048576,157.6795005000002,1.9895196601282805e-13,0.0
2097152,157.67950049999948,5.115907697472721e-13,0.0
4194304,157.67950050000087,8.810729923425242e-13,0.0
8388608,157.67950050000158,1.5916157281026244e-12,0.0

alpha,runtime,acceptance_ratio,sampling_param
0.66,179.149927,0.0,10.0
step,mean_E,std_E,std_E_blocking
1048576,158.8907388999998,1.9895196601282805e-13,0.0
2097152,158.8907389000005,5.115907697472721e-13,0.0
4194304,158.89073890000049,4.831690603168681e-13,0.0
8388608,158.8907388999971,2.8990143619012088e-12,0.0

alpha,runtime,acceptance_ratio,sampling_param
0.7,177.331101,0.0,10.0
step,mean_E,std_E,std_E_blocking
1048576,159.42767949999995,5.684341886080802e-14,0.0
2097152,159.42767950000032,3.126388037344441e-13,0.0
4194304,159.42767949999907,9.379164112033322e-13,0.0
8388608,159.4276794999997,3.126388037344441e-13,0.0
